"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          53,      -10.27323524,      -10.29110107,      -10.24645427,      -9.999656896,      -9.656585953
          0,           0,          54,      -10.33017447,      -10.34160937,      -10.28081564,      -10.03883309,      -9.706273367
          0,           0,          55,      -10.38224516,      -10.40363627,      -10.32066583,      -10.07729557,       -9.77347378
          0,           0,          56,      -10.42683579,      -10.46005035,       -10.3551333,      -10.11518353,      -9.819994736
          0,           0,          57,      -10.48540671,      -10.51114639,      -10.38726822,      -10.14932435,      -9.868541002
          0,           0,          58,      -10.54652365,      -10.56447974,      -10.42159091,       -10.1834408,      -9.925046341
          0,           0,          59,      -10.60077331,       -10.6149908,      -10.45588042,      -10.21806766,      -9.979461687
          0,           0,          60,      -10.65565848,      -10.66601651,      -10.49418692,      -10.25490525,      -10.03482782
          0,           0,          61,      -10.70842693,      -10.72278416,      -10.53770215,      -10.29322324,      -10.09926276
          0,           0,          62,      -10.75471988,      -10.77011213,      -10.57952041,      -10.33598106,      -10.14507593
          0,           0,          63,      -10.80704982,      -10.80905782,      -10.62094075,      -10.37884546,       -10.1888755
          0,           0,          64,       -10.8597445,      -10.85048994,      -10.66532458,      -10.42258962,      -10.23824494
          0,           0,          65,      -10.90917289,      -10.89444203,      -10.71306944,      -10.46880863,      -10.28783848
          0,           0,          66,      -10.95751081,       -10.9389721,      -10.76253345,      -10.51691035,      -10.33629443
          0,           0,          67,      -11.00630245,      -10.98287528,       -10.8132661,      -10.56649461,      -10.38449107
          0,           0,          68,      -11.05563768,      -11.02773032,      -10.86642242,      -10.61804307,      -10.43318353
          0,           0,          69,      -11.10486835,      -11.07398618,      -10.92252024,      -10.67231836,      -10.48201995
          0,           0,          70,      -11.15382682,      -11.12120231,      -10.98136289,      -10.72968219,      -10.53073122
          0,           0,          71,      -11.20296943,      -11.16961431,      -11.04254487,      -10.78985743,      -10.57959737
          0,           0,          72,      -11.25391778,      -11.22147321,       -11.1070275,      -10.85316959,       -10.6303981
          0,           0,          73,      -11.30191474,      -11.27821494,      -11.16916822,      -10.91228854,       -10.6899692
          0,           0,          74,      -11.35109617,      -11.33281481,      -11.23524074,        -10.978636,      -10.73793385
          0,           0,          75,      -11.40606269,       -11.3861994,      -11.30231157,      -11.04726104,      -10.78521467
          0,           0,          76,      -11.45753254,      -11.44616151,       -11.3647608,      -11.10926054,       -10.8463437
          0,           0,          77,      -11.50808457,      -11.50478499,      -11.42913133,      -11.17678074,      -10.89521142
          0,           0,          78,      -11.56559621,      -11.56361076,      -11.49206234,       -11.2446319,      -10.94477112
          0,           0,          79,      -11.62460702,      -11.62676148,      -11.55232345,      -11.31025978,      -11.00060861
          0,           0,          80,      -11.68328486,      -11.68953991,      -11.60661089,      -11.37142166,        -11.055374
          0,           0,          81,      -11.73664796,      -11.75706931,      -11.66062689,      -11.42619547,      -11.12348249
          0,           0,          82,      -11.78817507,      -11.81839049,      -11.71085974,      -11.48223453,      -11.17493497
          0,           0,          83,      -11.84847738,       -11.8755361,      -11.75824122,      -11.53479345,      -11.22712834
          0,           0,          84,      -11.90691846,      -11.93083255,       -11.8032689,      -11.58264207,      -11.28226919
          0,           0,          85,        -11.953923,      -11.98416799,      -11.84614348,      -11.62512492,      -11.34259252
          0,           0,          86,      -12.00027807,      -12.02860132,      -11.88263622,      -11.66581447,      -11.38778071
          0,           0,           0,      -6.198641658,      -6.172430533,      -6.077587061,      -6.228383828,      -5.591475177
          0,           0,           1,      -5.798817013,      -5.649593348,      -5.666362162,      -5.653227926,      -5.190357616
          0,           0,           2,      -5.767567108,      -5.706421364,      -5.530163364,      -5.499307964,      -5.164005945
          0,           0,           3,       -5.81462422,      -5.751144036,      -5.485154884,      -5.398350056,      -5.211131478
          0,           0,           4,      -5.937885152,      -5.857699813,      -5.507468961,        -5.3750303,      -5.328111857
          0,           0,           5,      -5.951933222,      -5.896730667,      -5.559166381,      -5.408644148,      -5.341708335
          0,           0,           6,      -5.975382896,      -5.918779825,      -5.618308107,      -5.470235658,      -5.362300994
          0,           0,           7,      -6.031042977,      -5.971681317,       -5.67997068,      -5.525565247,      -5.421836389
          0,           0,           8,       -6.10012219,      -6.046987878,      -5.766609319,      -5.598874095,      -5.490513321
          0,           0,           9,      -6.190269999,      -6.142592422,      -5.876657081,      -5.686101851,      -5.576039139
          0,           0,          10,      -6.287688774,      -6.250663279,      -6.001846468,       -5.78569066,      -5.668754667
          0,           0,          11,      -6.358791576,      -6.341018144,      -6.130522446,      -5.897172641,      -5.737725829
          0,           0,          12,       -6.41914714,      -6.415930568,      -6.254994478,      -6.016479182,      -5.797545882
          0,           0,          13,      -6.493875169,      -6.496433236,      -6.377278453,      -6.139991046,      -5.870690666
          0,           0,          14,      -6.585227769,      -6.588308354,      -6.500409177,       -6.26290506,       -5.95966196
          0,           0,          15,      -6.684813957,      -6.685634993,      -6.625382232,      -6.381692409,       -6.05704884
          0,           0,          16,      -6.784607772,      -6.782121477,      -6.748027901,      -6.491298524,      -6.157487839
          0,           0,          17,      -6.884059505,      -6.876558931,      -6.872828437,      -6.597195861,       -6.25633345
          0,           0,          18,       -6.97266886,      -6.963275688,      -6.981182686,      -6.685910828,      -6.353970067
          0,           0,          19,      -7.056259212,      -7.046831133,      -7.097189393,      -6.779781683,      -6.440162058
          0,           0,          20,      -7.139701684,      -7.127654018,      -7.215334934,      -6.877607669,      -6.520050167
          0,           0,          21,      -7.222864839,      -7.210075307,      -7.335002482,      -6.978245481,      -6.599528559
